time_s,label,prn,doppler_hz,mean_I,mean_Q,power,power_variance,mean_magnitude,std_magnitude,mean_phase,skew_I,skew_Q,kurtosis_I,kurtosis_Q,min_I,max_I,min_Q,max_Q
0.0,0,-1,183292.02808737443,-3.8733513103623004e+36,-3.4237990213911576e+36,9.90894884524544e+74,2.5989499593747737e+151,7.244467201996077e+36,3.063352052056288e+37,-0.0031282524352269294,-6.804536561867742,-7.350912016803756,46.04186853851227,54.51612799810857,-1.7014117331926443e+38,5.910524150961039e+20,-1.7014117331926443e+38,2266780391178240.0
0.0002,0,-1,143291.56247393275,-3.651142540689991e+36,-3.9811079063404093e+36,1.0522719402571928e+75,2.8344705374734663e+151,7.551969613208202e+36,3.1547419787018604e+37,-0.016783317113512043,-7.047934634506011,-6.709763180014322,49.62188673856602,44.69174865671218,-1.7014117331926443e+38,1.4761898858595012e+20,-1.7014117331926443e+38,9071519611224064.0
0.0004,0,-1,16794.1298057048,-3.619706534812558e+36,-3.246814579568435e+36,9.207809382543684e+74,2.4719838714762763e+151,6.793329646130737e+36,2.9574171342125036e+37,-0.00507649024351168,-7.102238622192393,-7.536493549411045,50.71410642039083,57.316641039955165,-1.7014117331926443e+38,6.23635643940789e+26,-1.7014117331926443e+38,566815356878848.0
0.0006,0,-1,54213.135068153635,-3.280475160123154e+36,-3.73247687312416e+36,9.548342889089456e+74,2.549611472889775e+151,6.943089843926274e+36,3.01102605822021e+37,0.007589519719256622,-7.513286621975444,-6.9713555658957675,56.755514605018675,48.38613198818638,-1.7014117331926443e+38,35436697223168.0,-1.7014117331926443e+38,6.045920370158306e+23
0.0008,0,-1,207774.05698058737,-3.619932547356123e+36,-3.5811248557966586e+36,9.746438994900733e+74,2.5890992898058316e+151,7.138517555891948e+36,3.039219417209451e+37,-0.021356581694698323,-7.103211076710105,-7.15193970177174,50.57657963291211,51.22033146150962,-1.7014117331926443e+38,8864811450368.0,-1.7014117331926443e+38,2.4354864383333485e+24
0.001,0,-1,148045.7694511121,-3.503120837942291e+36,-3.5028291807217286e+36,9.521995943542457e+74,2.5379064625637588e+151,6.937967853773625e+36,3.006766030828221e+37,-0.005118117889130628,-7.183281612723702,-7.261699166128085,51.34814476477362,53.22242909004662,-1.7014117331926443e+38,9.460009175675331e+21,-1.7014117331926443e+38,3.692163564509017e+19
0.0012,0,-1,57983.71301927636,-3.457735580675456e+36,-3.498287161298667e+36,9.401327442207244e+74,2.5161817480993688e+151,6.881273180522794e+36,2.9879438141232545e+37,0.07719236053601024,-7.309745467595446,-7.202896451639014,53.957067709253614,51.814076090590625,-1.7013857717083516e+38,1.512909715205289e+23,-1.7014117331926443e+38,2.363849372414226e+21
0.0014,0,-1,200610.8925243322,-3.6804948597622135e+36,-3.9291827476439987e+36,1.045543926442972e+75,2.803651707405861e+151,7.520186975767185e+36,3.1448222752525675e+37,-0.006213946626110946,-7.036819949021564,-6.762465460665077,49.39317696521478,45.49130271361197,-1.7013857717083516e+38,3.607167797244723e+16,-1.7014117331926443e+38,1.5857238190721168e+29
0.0016,0,-1,244895.85481542588,-3.561339126027882e+36,-3.6653089879157896e+36,9.80428639398376e+74,2.619827530475584e+151,7.151673640640164e+36,3.0484130355582534e+37,0.019566879006922937,-7.172380783678882,-7.034228742205863,51.718886306749745,49.40712645375367,-1.7014117331926443e+38,8797972070400.0,-1.7014117331926443e+38,2.537235481767842e+30
0.0018,0,-1,218233.47107438018,-3.9722552526501247e+36,-3.6812990775404736e+36,1.0493385011023489e+75,2.856336226375244e+151,7.538993847590284e+36,3.1504000902557513e+37,-0.02735860374838777,-6.691181342090621,-7.048637650017425,44.415675535167054,49.87031674457692,-1.7014117331926443e+38,5.907101415244237e+20,-1.7014117331926443e+38,1.4411518807585587e+17
0.002,0,-1,323920.92400412285,-3.695276909871936e+36,-3.5795348564561144e+36,9.945593864890079e+74,2.6368645410506054e+151,7.186979594711143e+36,3.0706786070740346e+37,-0.019707879996476,-6.984129750183071,-7.147316003294895,48.59782288164056,51.24889810371844,-1.7013857717083516e+38,5.808587300950508e+17,-1.7014117331926443e+38,9.232097761132806e+18
0.0022,0,-1,241178.29137432933,-3.818112301886651e+36,-3.688538246361834e+36,1.0331891365657938e+75,2.7314859286801153e+151,7.455013930679137e+36,3.1266785953455043e+37,-0.019782810222978175,-6.864866348328047,-7.004003952181124,46.92131882298806,48.98069247131194,-1.7014117331926443e+38,9.506124909959698e+21,-1.7014117331926443e+38,1.48699834904333e+20
0.0024,0,-1,253735.18804739826,-3.484304698739219e+36,-3.742051641043172e+36,9.890553072172433e+74,2.6356199351529176e+151,7.170438636471851e+36,3.062090979996896e+37,0.04838724904591182,-7.221437965932441,-6.970350427139955,52.20120081643197,48.47712754296059,-1.7014117331926443e+38,2269323011817472.0,-1.7014117331926443e+38,9.51304243898734e+21
0.0026,0,-1,132745.64388081236,-3.8547178508092554e+36,-3.89179585624366e+36,1.0643537802877728e+75,2.8614169274372417e+151,7.650386839582033e+36,3.171474990430356e+37,-0.03335330729739733,-6.839221782413153,-6.804040374919435,46.65077748301303,46.05959737645682,-1.7014117331926443e+38,5.774635069079552e+17,-1.7013857717083516e+38,9.445597656867746e+21
0.0028,0,-1,334245.30249845143,-3.780155940144734e+36,-3.262958816374198e+36,9.552040818195372e+74,2.5241386119656056e+151,6.998369022072496e+36,3.0103602987855673e+37,-6.290191226647433e-05,-6.92591751086214,-7.520743945640405,47.88296405771274,56.94116224361839,-1.7013857717083516e+38,3.803257009037104e+22,-1.7014117331926443e+38,1.4421194509910016e+17
0.003,0,-1,-15492.657410475986,-3.6746966867316076e+36,-3.3538089403398505e+36,9.355322138152487e+74,2.469570346077234e+151,6.985573166719283e+36,2.977807887268183e+37,-0.012298903857362525,-7.062490378667306,-7.432049734014695,50.19073381984793,55.7705038414535,-1.7014117331926443e+38,35199404474368.0,-1.7014117331926443e+38,9.291769356683837e+18
0.0032,0,-1,236140.41803203005,-3.826618696689956e+36,-3.527521906995615e+36,1.0020425713770135e+75,2.663172965692494e+151,7.288265490333722e+36,3.0804606108817954e+37,0.024685449519027295,-6.872782933494869,-7.197798978434181,47.146627778080806,51.91368605100722,-1.7014117331926443e+38,1.5845632502852868e+29,-1.7014117331926443e+38,9012696812879872.0
0.0034,0,-1,191670.12018234568,-3.5896773593754835e+36,-3.809539430821684e+36,1.0295627313527744e+75,2.7551853894030466e+151,7.330164776655482e+36,3.1238300461130296e+37,0.012547936548359095,-7.046244848931458,-6.899039027032019,49.23708016349639,47.471845811327206,-1.7014117331926443e+38,5.905660263363479e+20,-1.7014117331926443e+38,1.5222712576787114e+23
0.0036,0,-1,396090.53497942403,-3.8744937740928186e+36,-3.4040474166280064e+36,9.872081945974098e+74,2.6218027794255637e+151,7.2122093083083e+36,3.0580912862283247e+37,0.04032606313809157,-6.827334662670329,-7.35722530315135,46.47832021535581,54.450438643527,-1.7014117331926443e+38,5.768125960243118e+17,-1.7014117331926443e+38,5.808587300950508e+17
0.0038,0,-1,373027.9894888809,-3.6620454589119236e+36,-3.845927747834091e+36,1.0315748179227719e+75,2.748473305183554e+151,7.422049063971742e+36,3.124880806710503e+37,0.016297568832537843,-7.039723659716976,-6.846992914518179,49.44527835338251,46.71167545137475,-1.7014117331926443e+38,141648004644864.0,-1.7014117331926443e+38,2.3082355465157345e+18